
06-14 15:02:22.028 32424 32424 D BgTest  : uiCount 93  +3
06-14 15:02:23.030 32424 32424 D BgTest  : uiCount 94  +3
06-14 15:02:24.031 32424 32424 D BgTest  : uiCount 95  +3
06-14 15:02:25.032 32424 32424 D BgTest  : uiCount 96  +3
06-14 15:02:26.034 32424 32424 D BgTest  : uiCount 97  +3
06-14 15:02:27.035 32424 32424 D BgTest  : uiCount 98  +3
06-14 15:02:28.036 32424 32424 D BgTest  : uiCount 99  +3
06-14 15:02:29.038 32424 32424 D BgTest  : uiCount 100  +3
06-14 15:02:30.039 32424 32424 D BgTest  : uiCount 101  +3
06-14 15:02:31.040 32424 32424 D BgTest  : uiCount 102  +3
06-14 15:02:32.043 32424 32424 D BgTest  : uiCount 103  +3
06-14 15:02:33.044 32424 32424 D BgTest  : uiCount 104  +3
06-14 15:02:34.045 32424 32424 D BgTest  : uiCount 105  +3
06-14 15:02:35.046 32424 32424 D BgTest  : uiCount 106  +3
06-14 15:02:36.048 32424 32424 D BgTest  : uiCount 107  +3
06-14 15:02:37.049 32424 32424 D BgTest  : uiCount 108  +3
06-14 15:02:38.050 32424 32424 D BgTest  : uiCount 109  +4
06-14 15:02:39.051 32424 32424 D BgTest  : uiCount 110  +4
06-14 15:02:40.052 32424 32424 D BgTest  : uiCount 111  +4
